UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_encoded,Product ID_encoded,Failure Type_encoded
1827,297.8,307.3,1516,40.1,166,0,0,210,1
1828,297.9,307.3,1420,47.8,171,0,2,7535,1
1829,297.8,307.2,1351,56.3,174,0,1,2087,1
1830,297.8,307.2,1880,23.0,176,0,1,2088,1
1831,297.8,307.3,1859,24.0,178,0,1,2089,1
1832,297.8,307.3,1315,54.0,180,0,2,7536,1
1833,297.8,307.4,1330,51.7,183,0,2,7537,1
1834,297.8,307.3,1327,61.0,186,1,1,2090,2
1835,297.8,307.2,1498,38.1,188,0,1,2091,1
1836,297.8,307.3,1555,35.8,190,0,0,211,1
1837,297.7,307.2,1518,35.8,195,0,1,2092,1
1838,297.7,307.2,1392,43.0,197,0,1,2093,1
1839,297.8,307.2,1456,39.6,199,0,2,7538,1
1840,297.7,307.1,1715,30.2,0,0,1,2094,1
1841,297.7,307.2,1405,43.7,2,0,2,7539,1
1842,297.7,307.2,1668,37.8,5,0,1,2095,1
1843,297.7,307.1,1855,22.5,7,0,0,212,1
1844,297.6,307.1,1496,39.2,12,0,1,2096,1
1845,297.6,307.1,1471,44.9,14,0,2,7540,1
1846,297.7,307.2,1444,40.0,17,0,1,2097,1
1847,297.7,307.3,1514,38.6,19,0,0,213,1
1848,297.8,307.3,1412,50.7,24,0,1,2098,1
1849,297.7,307.2,1429,44.1,26,0,0,214,1
1850,297.7,307.2,1668,32.7,31,0,1,2099,1
1851,297.7,307.2,1372,52.8,33,0,2,7541,1
1852,297.7,307.3,1365,49.2,36,0,2,7542,1
1853,297.6,307.1,1526,39.1,39,0,2,7543,1
1854,297.6,307.2,1486,40.6,42,0,1,2100,1
1855,297.6,307.2,1470,42.6,44,0,2,7544,1
1856,297.7,307.3,1249,62.8,47,0,0,215,1
1857,297.8,307.4,1752,26.1,52,0,2,7545,1
1858,297.7,307.4,1643,36.5,55,0,1,2101,1
1859,297.8,307.4,1488,36.1,57,0,2,7546,1
1860,297.8,307.4,1355,45.8,60,0,1,2102,1
1861,297.8,307.6,1607,30.3,62,0,1,2103,1
1862,297.9,307.6,1609,30.3,64,0,2,7547,1
1863,297.9,307.7,1517,44.4,67,0,1,2104,1
1864,297.9,307.7,1517,39.5,69,0,2,7548,1
1865,297.9,307.7,1546,37.6,72,0,1,2105,1
1866,297.9,307.7,1567,34.7,74,0,1,2106,1
1867,298.1,307.9,1662,28.9,76,0,2,7549,1
1868,298.1,307.9,1502,41.8,79,0,1,2107,1
1869,298.3,308.0,1361,56.9,81,0,1,2108,1
1870,298.3,308.1,1630,32.7,83,0,2,7550,1
1871,298.3,308.0,1486,42.3,86,0,1,2109,1
1872,298.3,308.1,1840,21.5,88,0,1,2110,1
1873,298.3,308.1,1326,58.4,90,0,1,2111,1
1874,298.4,308.1,1367,57.8,92,0,1,2112,1
1875,298.4,308.1,1598,32.7,94,0,1,2113,1
1876,298.3,308.0,1363,50.1,96,0,1,2114,1
1877,298.3,308.0,1242,62.0,98,0,1,2115,1
1878,298.2,307.8,1566,33.8,100,0,2,7551,1
1879,298.1,307.7,1424,47.7,103,0,2,7552,1
1880,298.2,307.7,1608,33.8,106,0,2,7553,1
1881,298.1,307.7,1705,29.1,109,0,1,2116,1
1882,298.0,307.6,1548,45.8,111,0,1,2117,1
1883,298.0,307.6,1581,43.4,113,0,2,7554,1
1884,298.0,307.6,1472,46.7,116,0,2,7555,1
1885,298.0,307.6,1792,26.0,119,0,2,7556,1
1886,298.0,307.6,1683,32.8,122,0,1,2118,1
1887,297.9,307.6,1503,40.7,124,0,1,2119,1
1888,297.9,307.5,1642,32.4,126,0,2,7557,1
1889,297.8,307.4,1902,24.3,129,0,2,7558,1
1890,297.7,307.4,1432,40.2,132,0,0,216,1
1891,297.8,307.4,1512,40.8,137,0,1,2120,1
1892,297.7,307.4,1764,29.0,139,0,1,2121,1
1893,297.8,307.4,1438,43.6,141,0,2,7559,1
1894,297.8,307.5,1631,29.9,144,0,1,2122,1
1895,297.9,307.5,1880,23.3,146,0,0,217,1
1896,297.9,307.6,1344,54.3,151,0,1,2123,1
1897,297.9,307.5,1574,35.8,153,0,1,2124,1
1898,297.8,307.4,1418,41.2,155,0,1,2125,1
1899,297.8,307.5,1372,54.1,157,0,1,2126,1
1900,297.8,307.5,1388,40.0,159,0,1,2127,1
1901,297.9,307.6,1493,36.0,161,0,0,218,1
1902,297.9,307.6,1505,40.1,166,0,2,7560,1
1903,298.0,307.6,1694,29.1,169,0,1,2128,1
1904,297.9,307.6,1968,20.4,171,0,1,2129,1
1905,298.0,307.6,1569,35.6,173,0,2,7561,1
1906,297.9,307.6,1687,29.1,176,0,1,2130,1
1907,297.9,307.6,1430,52.4,178,0,1,2131,1
1908,297.9,307.6,1504,42.4,180,0,1,2132,1
1909,297.9,307.6,1977,20.2,182,0,1,2133,1
1910,298.0,307.7,1435,45.6,184,0,1,2134,1
1911,298.0,307.7,1547,36.8,186,0,0,219,1
1912,298.1,307.8,1316,57.2,191,0,2,7562,1
1913,298.0,307.7,1621,34.9,194,0,2,7563,1
1914,298.0,307.8,1492,40.2,197,0,2,7564,1
1915,298.0,307.7,1643,32.3,200,0,1,2135,1
1916,298.0,307.7,1492,38.7,202,0,1,2136,1
1917,298.0,307.7,1387,50.8,204,0,1,2137,1
1918,298.1,307.9,1463,47.3,206,0,2,7565,1
1919,298.1,307.9,1496,40.0,0,0,2,7566,1
1920,298.2,308.0,1658,30.0,3,0,1,2138,1
1921,298.1,307.9,2161,17.5,5,0,1,2139,1
1922,298.1,307.9,1665,32.0,7,0,1,2140,1
1923,298.0,307.8,1716,26.6,9,0,1,2141,1
1924,298.0,307.7,1529,34.1,11,0,1,2142,1
1925,297.9,307.7,1353,50.7,13,0,1,2143,1
1926,297.9,307.7,1537,37.7,15,0,1,2144,1
1927,298.0,307.7,1606,30.8,17,0,1,2145,1
1928,298.0,307.8,1314,47.8,19,0,0,220,1
1929,298.0,307.8,1623,29.9,24,0,1,2146,1
1930,298.0,307.8,1483,50.9,26,0,2,7567,1
1931,298.1,307.9,1569,37.0,29,0,2,7568,1
1932,298.2,308.0,1969,21.7,32,0,2,7569,1
1933,298.1,308.0,1686,29.3,35,0,2,7570,1
1934,298.1,308.0,1638,35.1,38,0,1,2147,1
1935,298.1,307.9,1698,33.3,40,0,1,2148,1
1936,298.1,307.9,1377,55.1,42,0,2,7571,1
1937,298.1,308.0,2129,18.4,45,0,2,7572,1
1938,298.2,308.0,1411,42.4,48,0,1,2149,1
1939,298.1,307.9,1517,40.8,50,0,1,2150,1
1940,298.1,307.9,1303,53.9,52,0,2,7573,1
1941,298.1,307.9,1578,35.6,55,0,1,2151,1
1942,298.1,307.9,1425,58.2,57,0,1,2152,1
1943,298.1,308.0,1456,42.4,59,0,1,2153,1
1944,298.1,308.0,1704,30.9,61,0,1,2154,1
1945,298.1,308.1,1791,27.3,63,0,1,2155,1
1946,298.1,308.1,1616,32.8,65,0,1,2156,1
1947,298.2,308.1,1622,34.9,67,0,1,2157,1
1948,298.2,308.1,1462,49.9,69,0,1,2158,1
1949,298.1,308.1,1410,45.8,71,0,1,2159,1
1950,298.1,308.0,1543,41.9,73,0,2,7574,1
1951,298.0,307.9,1479,47.6,76,0,2,7575,1
1952,298.0,307.8,1839,22.7,79,0,1,2160,1
1953,298.0,307.8,1266,60.5,81,0,1,2161,1
1954,297.9,307.7,1593,34.9,83,0,1,2162,1
1955,297.9,307.8,1459,46.9,85,0,1,2163,1
1956,297.9,307.7,1308,55.2,87,0,1,2164,1
1957,297.9,307.7,1364,46.8,89,0,2,7576,1
1958,297.9,307.7,1618,35.9,92,0,0,221,1
1959,297.9,307.7,1464,43.2,97,0,0,222,1
1960,297.8,307.6,1352,49.4,102,0,2,7577,1
1961,297.8,307.6,1446,51.4,105,0,1,2165,1
1962,297.8,307.5,1448,51.2,107,0,1,2166,1
1963,297.8,307.5,1391,48.6,109,0,1,2167,1
1964,297.7,307.5,1379,43.3,111,0,1,2168,1
1965,297.8,307.5,1405,46.9,113,0,2,7578,1
1966,297.8,307.5,1581,33.1,116,0,1,2169,1
1967,297.9,307.6,1515,40.5,118,0,1,2170,1
1968,297.9,307.6,1589,37.8,120,0,1,2171,1
1969,298.0,307.6,1281,50.8,122,0,1,2172,1
1970,297.8,307.5,1631,31.3,124,0,0,223,1
1971,297.9,307.6,1202,67.0,129,0,2,7579,1
1972,297.9,307.6,1298,52.7,132,0,1,2173,1
1973,297.9,307.6,1612,30.7,134,0,1,2174,1
1974,297.9,307.6,1747,25.3,136,0,1,2175,1
1975,298.0,307.6,1450,48.7,138,0,1,2176,1
1976,298.0,307.7,1422,45.6,140,0,1,2177,1
1977,298.1,307.7,1419,47.4,142,0,2,7580,1
1978,298.1,307.7,1633,30.7,145,0,2,7581,1
1979,298.0,307.7,1442,43.6,148,0,1,2178,1
1980,298.0,307.6,1420,45.8,150,0,0,224,1
1981,298.0,307.6,1301,58.5,155,0,2,7582,1
1982,298.0,307.6,1385,45.0,158,0,1,2179,1
1983,298.0,307.7,1487,41.3,160,0,2,7583,1
1984,298.0,307.6,1459,44.4,163,0,2,7584,1
1985,298.0,307.5,1387,45.5,166,0,2,7585,1
1986,298.1,307.7,1537,40.8,169,0,1,2180,1
1987,298.1,307.6,1498,42.9,171,0,1,2181,1
1988,298.2,307.8,1599,31.2,173,0,2,7586,1
1989,298.3,307.9,1420,39.2,176,0,0,225,1
1990,298.2,307.9,1785,23.4,181,0,1,2182,1
1991,298.2,307.8,1423,48.1,183,0,1,2183,1
1992,298.2,307.8,1583,36.6,185,0,2,7587,1
1993,298.2,307.8,1375,46.6,188,0,1,2184,1
1994,298.3,308.0,1463,42.5,190,0,2,7588,1
1995,298.2,307.9,1403,45.1,193,0,2,7589,1
1996,298.3,308.0,1451,47.1,196,0,1,2185,1
1997,298.4,308.0,1416,38.2,198,1,2,7590,5
1998,298.3,308.1,1672,41.3,0,0,1,2186,1
1999,298.3,308.0,1637,30.8,2,0,0,226,1
2000,298.4,308.0,1540,37.8,7,0,1,2187,1
2001,298.4,308.1,1279,53.1,9,0,1,2188,1
2002,298.4,308.2,1604,34.9,11,0,1,2189,1
2003,298.5,308.2,1654,27.1,13,0,1,2190,1
2004,298.5,308.2,1564,37.5,15,0,2,7591,1
2005,298.5,308.2,1451,47.5,18,0,1,2191,1
2006,298.5,308.3,1504,38.0,20,0,1,2192,1
2007,298.5,308.3,1381,50.5,22,0,2,7592,1
2008,298.6,308.4,1562,34.4,25,0,1,2193,1
2009,298.5,308.3,1811,24.7,27,0,1,2194,1
2010,298.6,308.3,1717,28.7,29,0,2,7593,1
2011,298.6,308.3,1278,60.5,32,0,1,2195,1
2012,298.7,308.5,1616,30.2,34,0,1,2196,1
2013,298.6,308.4,1397,46.4,36,0,1,2197,1
2014,298.6,308.4,1485,42.9,38,0,1,2198,1
2015,298.6,308.4,1310,59.7,40,0,1,2199,1
2016,298.5,308.2,1301,66.3,42,1,1,2200,3
2017,298.5,308.3,1458,44.0,44,0,1,2201,1
2018,298.7,308.5,1483,42.5,46,0,1,2202,1
2019,298.7,308.5,1375,46.4,48,0,1,2203,1
2020,298.7,308.5,1660,27.0,50,0,2,7594,1
2021,298.7,308.4,1560,33.3,53,0,0,227,1
2022,298.7,308.5,1480,42.2,58,0,1,2204,1
2023,298.7,308.4,1373,46.9,60,0,1,2205,1
2024,298.7,308.5,1444,54.2,62,0,1,2206,1
2025,298.7,308.6,1722,24.7,64,0,2,7595,1
2026,298.7,308.5,1469,39.9,67,0,1,2207,1
2027,298.7,308.5,1360,52.9,69,0,2,7596,1
2028,298.7,308.4,1750,25.8,72,0,1,2208,1
2029,298.7,308.3,1349,46.6,74,0,2,7597,1
2030,298.7,308.5,1668,35.2,77,0,1,2209,1
2031,298.9,308.6,1400,49.5,79,0,1,2210,1
2032,298.8,308.6,1331,62.8,81,0,1,2211,1
2033,298.8,308.5,1444,42.2,83,0,1,2212,1
2034,298.8,308.5,1359,47.6,85,0,0,228,1
2035,298.8,308.5,1425,47.4,90,0,2,7598,1
2036,298.9,308.6,1469,34.2,93,0,2,7599,1
2037,299.0,308.7,1892,22.8,96,0,1,2213,1
2038,299.0,308.7,1940,19.9,98,0,0,229,1
2039,299.0,308.8,1405,55.2,103,0,1,2214,1
2040,299.0,308.9,1449,39.6,105,0,2,7600,1
2041,299.1,308.9,1686,29.6,108,0,1,2215,1
2042,299.1,308.9,1680,27.2,110,0,1,2216,1
2043,299.1,308.9,1397,52.4,112,0,2,7601,1
2044,299.2,309.0,1597,30.3,115,0,2,7602,1
2045,299.3,309.1,1470,41.1,118,0,1,2217,1
2046,299.3,309.1,1703,31.3,120,0,2,7603,1
2047,299.3,309.1,1388,45.5,123,0,1,2218,1
2048,299.3,309.2,1775,24.2,125,0,1,2219,1
2049,299.3,309.2,1465,41.5,127,0,1,2220,1
2050,299.3,309.2,1586,37.9,129,0,2,7604,1
2051,299.5,309.3,1675,29.2,132,0,2,7605,1
2052,299.4,309.2,1470,44.4,135,0,2,7606,1
2053,299.5,309.3,1477,40.4,138,0,1,2221,1
2054,299.5,309.3,1382,61.0,140,0,1,2222,1
2055,299.6,309.4,1605,29.8,142,0,2,7607,1
2056,299.6,309.4,1643,32.9,145,0,1,2223,1
2057,299.5,309.3,1333,54.1,147,0,1,2224,1
2058,299.5,309.3,1520,42.3,149,0,1,2225,1
2059,299.5,309.3,1902,24.0,151,0,2,7608,1
2060,299.5,309.4,1386,44.4,154,0,0,230,1
2061,299.6,309.5,1803,27.7,159,0,1,2226,1
2062,299.7,309.6,1359,50.7,161,0,1,2227,1
2063,299.7,309.6,1477,42.7,163,0,2,7609,1
2064,299.7,309.6,1321,53.4,166,0,1,2228,1
2065,299.6,309.5,1453,41.4,168,0,1,2229,1
2066,299.7,309.6,1419,45.1,170,0,1,2230,1
2067,299.7,309.6,1512,36.2,172,0,1,2231,1
2068,299.7,309.6,1553,36.8,174,0,1,2232,1
2069,299.7,309.6,1534,39.1,176,0,2,7610,1
2070,299.7,309.6,1553,41.0,179,0,0,231,1
2071,299.7,309.5,1352,49.7,184,0,1,2233,1
2072,299.7,309.6,1313,60.0,186,0,2,7611,1
2073,299.6,309.5,1570,35.5,189,0,1,2234,4
2074,299.6,309.4,1677,31.1,191,0,1,2235,1
2075,299.5,309.4,1602,31.5,193,0,1,2236,1
2076,299.5,309.4,1390,58.8,195,1,1,2237,2
2077,299.4,309.3,1544,36.0,197,0,1,2238,1
2078,299.4,309.4,1701,31.2,199,0,1,2239,1
2079,299.4,309.3,1692,28.4,201,0,2,7612,1
2080,299.3,309.3,1523,37.9,204,0,2,7613,1
2081,299.3,309.2,2280,15.4,207,0,1,2240,1
2082,299.4,309.3,1485,47.1,209,0,2,7614,1
2083,299.4,309.2,1513,36.1,212,0,0,232,1
2084,299.4,309.3,1743,28.2,0,0,0,233,1
2085,299.5,309.3,1442,46.2,5,0,1,2241,1
2086,299.5,309.3,1462,46.7,7,0,1,2242,1
2087,299.4,309.3,1439,49.7,9,0,0,234,1
2088,299.5,309.3,1577,36.6,14,0,1,2243,1
2089,299.6,309.4,1331,46.4,16,0,1,2244,1
2090,299.5,309.3,1941,22.5,18,0,1,2245,1
2091,299.5,309.2,1393,47.3,20,0,1,2246,1
2092,299.4,309.2,1433,42.1,22,0,1,2247,1
2093,299.4,309.2,1444,48.2,24,0,1,2248,1
2094,299.4,309.2,1564,39.0,26,0,1,2249,1
2095,299.4,309.3,1377,43.6,28,0,1,2250,1
2096,299.4,309.3,1525,41.5,30,0,1,2251,1
2097,299.5,309.4,1387,56.2,32,0,2,7615,1
2098,299.4,309.4,1326,47.5,35,0,2,7616,1
2099,299.4,309.3,1401,59.0,38,0,1,2252,1
2100,299.4,309.3,1596,31.8,40,0,1,2253,1
2101,299.3,309.3,1471,46.0,42,0,2,7617,1
2102,299.3,309.3,1528,37.8,45,0,1,2254,1
2103,299.3,309.3,1325,62.0,47,0,1,2255,1
2104,299.3,309.1,1376,46.7,49,0,2,7618,1
2105,299.3,309.1,1600,35.3,52,0,2,7619,1
2106,299.3,309.1,1495,44.0,55,0,1,2256,1
2107,299.4,309.1,1645,28.6,57,0,1,2257,1
2108,299.4,309.1,1417,47.3,59,0,2,7620,1
2109,299.4,309.0,1415,51.7,62,0,0,235,1
2110,299.3,309.0,1496,43.4,67,0,2,7621,1
2111,299.3,309.0,1508,35.0,70,0,0,236,1
2112,299.4,309.0,1436,47.9,75,0,1,2258,1
2113,299.5,309.1,1852,22.6,77,0,1,2259,1
2114,299.5,309.1,1863,22.5,79,0,1,2260,1
2115,299.4,309.1,1373,44.1,81,0,0,237,1
2116,299.4,309.0,1404,47.3,86,0,1,2261,1
2117,299.4,309.0,1381,44.9,88,0,2,7622,1
2118,299.4,308.9,1762,29.3,91,0,0,238,1
2119,299.3,308.9,1429,43.0,96,0,0,239,1
2120,299.3,308.9,1858,24.7,101,0,2,7623,1
2121,299.2,308.8,1908,21.3,104,0,0,240,1
2122,299.2,308.8,1503,37.4,109,0,2,7624,1
2123,299.2,308.8,1523,38.9,112,0,2,7625,1
2124,299.3,309.0,1491,38.4,115,0,1,2262,1
2125,299.2,308.9,1430,39.1,117,0,1,2263,1
2126,299.3,308.9,1258,69.4,119,1,1,2264,3
2127,299.3,309.0,1449,46.5,121,0,1,2265,1
2128,299.3,309.0,1425,40.6,123,0,0,241,1
2129,299.4,309.0,1800,24.3,128,0,1,2266,1
2130,299.4,309.0,1607,33.7,130,0,0,242,1
2131,299.4,309.0,1391,58.2,135,0,1,2267,1
2132,299.4,309.1,1432,45.4,137,0,1,2268,1
2133,299.4,309.0,1660,28.4,139,0,1,2269,1
2134,299.3,309.0,1732,29.7,141,0,0,243,1
2135,299.3,309.0,1473,46.3,146,0,1,2270,1
2136,299.3,309.0,1511,47.8,148,0,1,2271,1
2137,299.2,308.9,1588,41.5,150,0,1,2272,1
2138,299.3,308.9,1623,31.1,152,0,1,2273,1
2139,299.3,309.0,1734,30.6,154,0,1,2274,1
2140,299.3,309.0,1415,47.6,156,0,1,2275,1
2141,299.3,309.0,1419,46.6,158,0,1,2276,1
2142,299.3,308.9,1577,34.9,160,0,2,7626,1
2143,299.3,308.9,1376,60.3,163,0,1,2277,1
2144,299.3,308.8,1442,49.0,165,0,2,7627,1
2145,299.4,308.9,1451,40.5,168,0,1,2278,1
2146,299.3,308.8,1550,45.8,170,0,1,2279,1
2147,299.3,308.8,1647,32.9,172,0,1,2280,1
2148,299.4,308.9,1550,33.7,174,0,1,2281,1
2149,299.4,308.9,1583,34.1,176,0,1,2282,1
2150,299.4,309.0,1613,32.2,178,0,1,2283,1
2151,299.3,308.8,1636,35.5,180,0,0,244,1
2152,299.3,308.7,1289,51.5,185,0,2,7628,1
2153,299.3,308.8,1648,28.4,188,0,2,7629,1
2154,299.3,308.8,1397,45.4,191,0,0,245,1
2155,299.3,308.9,1767,24.8,196,0,2,7630,1
2156,299.3,308.8,1341,47.7,199,0,1,2284,1
2157,299.4,308.9,1457,41.5,201,0,2,7631,1
2158,299.4,309.0,1939,19.8,204,0,2,7632,1
2159,299.5,309.0,1399,49.7,207,0,2,7633,1
2160,299.5,309.0,1602,31.3,210,0,2,7634,1
2161,299.4,309.0,1507,41.0,213,0,1,2285,1
2162,299.4,309.1,1464,40.5,215,0,1,2286,1
2163,299.5,309.1,1336,42.1,217,0,1,2287,1
2164,299.6,309.2,1422,39.8,219,0,1,2288,1
2165,299.6,309.2,1540,36.7,221,0,1,2289,1
2166,299.5,309.1,1476,47.8,223,0,1,2290,1
2167,299.6,309.2,1867,23.4,225,1,2,7635,5
2168,299.6,309.1,1588,41.3,0,0,0,246,1
2169,299.5,309.1,1420,49.5,5,0,2,7636,1
2170,299.5,309.1,1415,49.2,8,0,1,2291,1
2171,299.4,309.1,1500,43.3,10,0,2,7637,1
2172,299.5,309.1,1502,44.6,13,0,1,2292,1
2173,299.5,309.2,1816,23.0,15,0,1,2293,1
2174,299.5,309.2,1495,41.6,17,0,2,7638,1
2175,299.6,309.2,1572,33.4,20,0,1,2294,1
2176,299.5,309.2,1590,35.9,22,0,2,7639,1
2177,299.6,309.3,1387,48.3,25,0,2,7640,1
2178,299.6,309.2,1393,47.7,28,0,2,7641,1
2179,299.6,309.2,1602,37.3,31,0,1,2295,1
2180,299.6,309.2,1601,33.3,33,0,1,2296,1
2181,299.6,309.2,1597,36.3,35,0,0,247,1
2182,299.5,309.1,1548,44.3,40,0,0,248,1
2183,299.5,309.2,1314,61.8,45,0,2,7642,1
2184,299.6,309.3,1577,39.8,48,0,2,7643,1
2185,299.8,309.4,1475,43.4,51,0,1,2297,1
2186,299.8,309.4,1630,32.4,53,0,1,2298,1
2187,299.7,309.4,1445,42.9,55,0,1,2299,1
2188,299.8,309.4,1439,47.4,57,0,2,7644,1
2189,299.7,309.3,1420,44.1,60,0,1,2300,1
2190,299.7,309.2,1554,41.6,62,0,0,249,1
2191,299.6,309.1,1471,44.3,67,0,2,7645,1
2192,299.6,309.0,1648,33.6,70,0,1,2301,1
2193,299.6,309.0,1472,48.8,72,0,1,2302,1
2194,299.5,308.9,1448,42.9,74,0,2,7646,1
2195,299.6,308.9,1568,35.3,77,0,2,7647,1
2196,299.6,308.9,1613,30.8,80,0,1,2303,1
2197,299.7,308.9,1551,35.4,82,0,2,7648,1
2198,299.7,309.0,1412,49.2,85,0,1,2304,1
2199,299.7,308.9,1478,41.0,87,0,2,7649,1
2200,299.8,309.1,1268,58.0,90,0,2,7650,1
2201,299.8,309.1,1546,35.6,93,0,1,2305,1
2202,299.8,309.0,1567,36.1,95,0,1,2306,1
2203,299.9,309.2,1548,35.7,97,0,2,7651,1
2204,299.8,309.0,1614,30.8,100,0,1,2307,1
2205,299.7,309.1,1352,46.1,102,0,2,7652,1
2206,299.9,309.2,1624,34.6,105,0,1,2308,1
2207,299.9,309.2,1436,52.0,107,0,1,2309,1
2208,299.8,309.2,1591,37.5,109,0,1,2310,1
2209,299.8,309.2,1435,42.6,111,0,0,250,1
2210,299.8,309.3,1386,49.4,116,0,1,2311,1
2211,299.7,309.2,1401,54.1,118,0,1,2312,1
2212,299.6,309.0,1245,64.0,120,0,2,7653,1
2213,299.7,309.1,1475,40.0,123,0,1,2313,1
2214,299.7,309.1,1473,39.4,125,0,1,2314,1
2215,299.7,309.2,1355,44.8,127,0,0,251,1
2216,299.7,309.2,1468,49.6,132,0,0,252,1
2217,299.7,309.2,1645,30.8,137,0,1,2315,1
2218,299.7,309.1,1347,55.3,139,0,1,2316,1
2219,299.7,309.1,1713,33.5,141,0,1,2317,1
2220,299.6,309.1,1435,48.4,143,0,2,7654,1
2221,299.6,309.0,1736,26.1,146,0,2,7655,1
2222,299.6,309.0,1372,60.4,149,0,1,2318,1
2223,299.7,309.0,1605,33.0,151,0,1,2319,1
2224,299.6,309.0,1413,48.5,153,0,1,2320,1
2225,299.7,309.0,1645,31.9,155,0,2,7656,1
2226,299.7,309.0,1465,49.0,158,0,2,7657,1
2227,299.6,308.9,1685,27.8,161,0,2,7658,1
2228,299.5,308.8,1965,20.4,164,0,1,2321,1
2229,299.4,308.6,1542,41.8,166,0,0,253,1
2230,299.4,308.7,1681,30.8,171,0,1,2322,1
2231,299.5,308.7,1446,45.7,173,0,1,2323,1
2232,299.4,308.6,1415,56.4,175,0,1,2324,1
2233,299.5,308.6,1672,30.5,177,0,1,2325,1
2234,299.5,308.7,2549,13.0,179,1,1,2326,3
2235,299.4,308.6,1492,40.5,181,0,1,2327,1
2236,299.4,308.6,1455,42.7,183,0,2,7659,1
2237,299.3,308.5,1422,43.1,186,0,2,7660,1
2238,299.3,308.6,1403,50.6,189,0,1,2328,1
2239,299.3,308.6,1474,49.6,191,0,1,2329,1
2240,299.2,308.6,1381,50.0,193,0,1,2330,1
2241,299.2,308.5,1457,44.7,195,0,1,2331,1
2242,299.2,308.4,1711,28.9,197,0,1,2332,1
2243,299.2,308.4,1667,29.0,199,0,1,2333,1
2244,299.2,308.4,1465,35.0,201,0,1,2334,1
2245,299.3,308.4,1542,37.5,203,1,2,7661,5
2246,299.3,308.4,1438,42.3,0,0,2,7662,1
2247,299.3,308.4,1406,47.4,3,0,1,2335,1
2248,299.2,308.4,1396,48.5,5,0,2,7663,1
2249,299.3,308.5,1304,60.6,8,0,2,7664,1
2250,299.2,308.5,1442,46.5,11,0,1,2336,1
2251,299.2,308.4,1396,48.7,13,0,2,7665,1
2252,299.1,308.3,1424,43.4,16,0,0,254,1
2253,299.1,308.3,1451,42.8,21,0,0,255,1
2254,299.2,308.4,1386,54.1,26,0,1,2337,1
2255,299.1,308.3,1325,46.9,28,0,1,2338,1
2256,299.1,308.3,1559,33.7,30,0,1,2339,1
2257,299.1,308.3,1489,38.1,32,0,1,2340,1
2258,299.1,308.3,1892,25.2,34,0,1,2341,1
2259,299.1,308.2,1319,60.3,36,0,1,2342,1
2260,299.1,308.3,1431,52.3,38,0,1,2343,1
2261,299.1,308.3,1521,36.5,40,0,0,256,1
2262,299.1,308.2,1435,45.2,45,0,2,7666,1
2263,299.1,308.3,1533,42.4,48,0,1,2344,1
2264,299.2,308.4,1529,43.0,50,0,2,7667,1
2265,299.2,308.4,1415,43.5,53,0,2,7668,1
2266,299.2,308.4,1330,51.2,56,0,2,7669,1
2267,299.2,308.5,1381,60.6,59,0,1,2345,1
2268,299.2,308.5,1370,52.4,61,0,1,2346,1
2269,299.2,308.5,1438,46.6,63,0,1,2347,1
2270,299.3,308.6,1314,48.2,65,0,1,2348,1
2271,299.3,308.6,1437,48.1,67,0,1,2349,1
2272,299.2,308.5,1821,26.1,69,0,1,2350,1
2273,299.3,308.6,1448,52.1,71,0,2,7670,1
2274,299.3,308.5,1589,32.7,74,0,1,2351,1
2275,299.3,308.6,1520,33.7,76,0,1,2352,1
2276,299.3,308.6,1605,37.0,78,0,1,2353,1
2277,299.3,308.7,1393,54.2,80,0,1,2354,1
2278,299.3,308.7,1408,44.4,82,0,0,257,1
2279,299.3,308.7,1459,35.6,87,0,2,7671,1
2280,299.4,308.7,1525,39.0,90,0,1,2355,1
2281,299.4,308.8,1390,57.0,92,0,1,2356,1
2282,299.3,308.7,1536,38.9,94,0,1,2357,1
2283,299.4,308.7,1459,47.6,96,0,1,2358,1
2284,299.2,308.5,1387,51.1,98,0,1,2359,1
2285,299.2,308.5,1378,53.4,100,0,1,2360,1
2286,299.4,308.7,1381,56.7,102,0,1,2361,1
2287,299.4,308.7,1289,60.5,104,0,2,7672,1
2288,299.4,308.6,1746,26.8,107,0,1,2362,1
2289,299.4,308.6,1541,39.1,109,0,2,7673,1
2290,299.4,308.7,1504,37.8,112,0,1,2363,1
2291,299.5,308.7,1321,51.9,114,0,2,7674,1
2292,299.5,308.8,1886,20.9,117,0,2,7675,1
2293,299.6,308.9,1422,53.2,120,0,1,2364,1
2294,299.5,308.9,1520,38.3,122,0,1,2365,1
2295,299.4,308.8,1627,32.6,124,0,1,2366,1
2296,299.4,308.7,1512,37.2,126,0,1,2367,1
2297,299.4,308.7,1553,42.7,128,0,1,2368,1
2298,299.3,308.7,1802,26.0,130,0,1,2369,1
2299,299.3,308.6,1482,37.6,132,0,1,2370,1
2300,299.4,308.7,1446,62.9,134,1,1,2371,3
2301,299.3,308.6,1371,50.5,136,0,1,2372,1
2302,299.2,308.6,1586,35.7,138,0,2,7676,1
2303,299.2,308.5,1515,39.8,141,0,1,2373,1
2304,299.2,308.5,1374,53.6,143,0,1,2374,1
2305,299.1,308.5,1455,39.8,145,0,1,2375,1
2306,299.2,308.5,1342,47.5,147,0,0,258,1
2307,299.1,308.6,1260,57.8,152,0,1,2376,1
